iter	MultiClass
0	2.716950041
1	2.437236738
2	2.293762055
3	2.141988557
4	1.994521162
5	1.824786559
6	1.686757238
7	1.554791957
8	1.457774342
9	1.375691593
10	1.303930671
11	1.229986664
12	1.151590286
13	1.091308543
14	1.035274023
15	0.9950442668
16	0.9451026174
17	0.8999162072
18	0.8572135116
19	0.8152865877
20	0.7853012638
21	0.7479596728
22	0.7137012808
23	0.6814965675
24	0.6545618294
25	0.6232985111
26	0.5963449939
27	0.5707449922
28	0.5483139258
29	0.5271848591
30	0.5060687406
31	0.4867754939
32	0.4709683613
33	0.4513111362
34	0.4327693671
35	0.4160479663
36	0.4033638873
37	0.3927560778
38	0.380870015
39	0.3677635341
40	0.3586941791
41	0.3468786513
42	0.3348307381
43	0.3251587735
44	0.3136189011
45	0.3036941342
46	0.2953657691
47	0.2878736558
48	0.2790578425
49	0.2705055835
50	0.2622634065
51	0.2552584671
52	0.2484612097
53	0.2423973326
54	0.236512421
55	0.2315170064
56	0.2248407626
57	0.2179008118
58	0.213709514
59	0.2071876182
60	0.2013195153
61	0.1969189621
62	0.1924107425
63	0.1873889584
64	0.1833549525
65	0.1787975317
66	0.1736653595
67	0.1694784179
68	0.1654863977
69	0.1623411376
70	0.1586116653
71	0.1546672279
72	0.1511239833
73	0.1483255682
74	0.1460505629
75	0.1434338422
76	0.1404423187
77	0.1369836226
78	0.1338828672
79	0.1309344155
80	0.1282910652
81	0.1256988331
82	0.1234107573
83	0.1209621256
84	0.1186170722
85	0.116231719
86	0.1136294557
87	0.1119334983
88	0.1096203653
89	0.1076303594
90	0.1059122109
91	0.103977909
92	0.1022140922
93	0.100255192
94	0.09790066548
95	0.09617673707
96	0.09469405168
97	0.09306775493
98	0.09163228584
99	0.09000303066
.09209642249
101	0.09084970393
102	0.08927131612
103	0.08815298707
104	0.08691033475
105	0.08566716421
106	0.08436407696
107	0.08326125034
108	0.08190095413
109	0.08069960454
110	0.07905415974
111	0.07812971356
112	0.0772140503
113	0.07634367209
114	0.0754014138
115	0.07434454188
116	0.07347147148
117	0.07263983887
118	0.0716851537
119	0.07067360012
120	0.06983983033
121	0.06915474218
122	0.06825774777
123	0.0670901533
124	0.06605406674
125	0.0655186294
126	0.06479311107
127	0.06393764771
128	0.06309456814
129	0.06247470726
130	0.06178124959
131	0.06112373461
132	0.06022484753
133	0.05968233632
134	0.05896086681
135	0.05835288821
136	0.05770765314
137	0.05710781024
138	0.05633445259
139	0.05579372064
140	0.05507352521
141	0.05455309101
142	0.05395229435
143	0.05328199623
144	0.05283898875
145	0.0523426883
146	0.0519334248
147	0.05134119451
148	0.05074265413
149	0.05027679006
150	0.04970228139
151	0.04910188056
152	0.04856070338
153	0.04821438179
154	0.04769520342
921
155	0.0446529816
156	0.04429561705
157	0.04381700977

159	0.04716386781
160	0.04677906355
161	0.04633981441
162	0.04583700554
163	0.04531235536
164	0.04494810135
165	0.04452235074
166	0.04419562505
